,index,speaker,sent_sv,sent_en,sent_idx,paragraph_text_sv,paragraph_text_en,paragraph_idx
1,1,Statsminister Magdalena Andersson (S),Vi står inför ännu en kraftansträngning med anledning av pandemin.,We are facing another effort due to the pandemic.,1,"Fru talman! Vi står inför ännu en kraftansträngning med anledning av pandemin. Viruset sprids snabbare än någonsin. Antalet patienter på landets sjukhus har ökat med nästan 40 procent den senaste veckan, och risken är hög för ett mycket stort antal sjukskrivningar.","Madam President! We are facing another effort due to the pandemic. The virus is spreading faster than ever. The number of patients in the country&#39;s hospitals has increased by almost 40 percent in the past week, and the risk is high for a very large number of sick leaves.",0
2,2,Statsminister Magdalena Andersson (S),Viruset sprids snabbare än någonsin.,The virus is spreading faster than ever.,2,"Fru talman! Vi står inför ännu en kraftansträngning med anledning av pandemin. Viruset sprids snabbare än någonsin. Antalet patienter på landets sjukhus har ökat med nästan 40 procent den senaste veckan, och risken är hög för ett mycket stort antal sjukskrivningar.","Madam President! We are facing another effort due to the pandemic. The virus is spreading faster than ever. The number of patients in the country&#39;s hospitals has increased by almost 40 percent in the past week, and the risk is high for a very large number of sick leaves.",0
3,3,Statsminister Magdalena Andersson (S),"Antalet patienter på landets sjukhus har ökat med nästan 40 procent den senaste veckan, och risken är hög för ett mycket stort antal sjukskrivningar.","The number of patients in the country&#39;s hospitals has increased by almost 40 percent in the past week, and the risk is high for a very large number of sick leaves.",3,"Fru talman! Vi står inför ännu en kraftansträngning med anledning av pandemin. Viruset sprids snabbare än någonsin. Antalet patienter på landets sjukhus har ökat med nästan 40 procent den senaste veckan, och risken är hög för ett mycket stort antal sjukskrivningar.","Madam President! We are facing another effort due to the pandemic. The virus is spreading faster than ever. The number of patients in the country&#39;s hospitals has increased by almost 40 percent in the past week, and the risk is high for a very large number of sick leaves.",0
4,4,Statsminister Magdalena Andersson (S),"I måndags presenterade regeringen ytterligare åtgärder för att pressa ned smittspridningen, i enlighet med den plan som lades fram i december.","On Monday, the government presented further measures to reduce the spread of infection, in accordance with the plan presented in December.",0,"I måndags presenterade regeringen ytterligare åtgärder för att pressa ned smittspridningen, i enlighet med den plan som lades fram i december. Det handlar om att arbeta hemifrån, att begränsa antalet nära kontakter och om ytterligare begränsningar för krogar och allmänna sammankomster.","On Monday, the government presented further measures to reduce the spread of infection, in accordance with the plan presented in December. It is about working from home, limiting the number of close contacts and further restrictions for restaurants and public gatherings.",1
5,5,Statsminister Magdalena Andersson (S),"Det handlar om att arbeta hemifrån, att begränsa antalet nära kontakter och om ytterligare begränsningar för krogar och allmänna sammankomster.","It is about working from home, limiting the number of close contacts and further restrictions for restaurants and public gatherings.",1,"I måndags presenterade regeringen ytterligare åtgärder för att pressa ned smittspridningen, i enlighet med den plan som lades fram i december. Det handlar om att arbeta hemifrån, att begränsa antalet nära kontakter och om ytterligare begränsningar för krogar och allmänna sammankomster.","On Monday, the government presented further measures to reduce the spread of infection, in accordance with the plan presented in December. It is about working from home, limiting the number of close contacts and further restrictions for restaurants and public gatherings.",1
6,6,Statsminister Magdalena Andersson (S),Regeringen inför inte nya restriktioner lättvindigt.,The government does not introduce new restrictions lightly.,0,"Regeringen inför inte nya restriktioner lättvindigt. Men i det här läget måste smittspridningen ned, och vi behöver alla hjälpas åt. Här vet vi att vaccinet är vårt mest verkningsfulla verktyg mot allvarlig sjukdom. De flesta som ligger på iva är inte fullvaccinerade. Därför vill jag rikta en tydlig uppmaning till dig som ännu inte har tagit vaccinet: Gör det nu! Och till alla som har tagit två doser: Ta den tredje när du får möjlighet!","The government does not introduce new restrictions lightly. But in this situation, the spread of infection must go down, and we all need help. Here we know that the vaccine is our most effective tool against serious illness. Most people who are on IVA are not fully vaccinated. Therefore, I would like to send a clear appeal to you who have not yet taken the vaccine: Do it now! And to everyone who has taken two doses: Take the third when you get the chance!",2
7,7,Statsminister Magdalena Andersson (S),"Men i det här läget måste smittspridningen ned, och vi behöver alla hjälpas åt.","But in this situation, the spread of infection must go down, and we all need help.",1,"Regeringen inför inte nya restriktioner lättvindigt. Men i det här läget måste smittspridningen ned, och vi behöver alla hjälpas åt. Här vet vi att vaccinet är vårt mest verkningsfulla verktyg mot allvarlig sjukdom. De flesta som ligger på iva är inte fullvaccinerade. Därför vill jag rikta en tydlig uppmaning till dig som ännu inte har tagit vaccinet: Gör det nu! Och till alla som har tagit två doser: Ta den tredje när du får möjlighet!","The government does not introduce new restrictions lightly. But in this situation, the spread of infection must go down, and we all need help. Here we know that the vaccine is our most effective tool against serious illness. Most people who are on IVA are not fully vaccinated. Therefore, I would like to send a clear appeal to you who have not yet taken the vaccine: Do it now! And to everyone who has taken two doses: Take the third when you get the chance!",2
8,8,Statsminister Magdalena Andersson (S),Här vet vi att vaccinet är vårt mest verkningsfulla verktyg mot allvarlig sjukdom.,Here we know that the vaccine is our most effective tool against serious illness.,2,"Regeringen inför inte nya restriktioner lättvindigt. Men i det här läget måste smittspridningen ned, och vi behöver alla hjälpas åt. Här vet vi att vaccinet är vårt mest verkningsfulla verktyg mot allvarlig sjukdom. De flesta som ligger på iva är inte fullvaccinerade. Därför vill jag rikta en tydlig uppmaning till dig som ännu inte har tagit vaccinet: Gör det nu! Och till alla som har tagit två doser: Ta den tredje när du får möjlighet!","The government does not introduce new restrictions lightly. But in this situation, the spread of infection must go down, and we all need help. Here we know that the vaccine is our most effective tool against serious illness. Most people who are on IVA are not fully vaccinated. Therefore, I would like to send a clear appeal to you who have not yet taken the vaccine: Do it now! And to everyone who has taken two doses: Take the third when you get the chance!",2
9,9,Statsminister Magdalena Andersson (S),De flesta som ligger på iva är inte fullvaccinerade.,Most people who are on IVA are not fully vaccinated.,3,"Regeringen inför inte nya restriktioner lättvindigt. Men i det här läget måste smittspridningen ned, och vi behöver alla hjälpas åt. Här vet vi att vaccinet är vårt mest verkningsfulla verktyg mot allvarlig sjukdom. De flesta som ligger på iva är inte fullvaccinerade. Därför vill jag rikta en tydlig uppmaning till dig som ännu inte har tagit vaccinet: Gör det nu! Och till alla som har tagit två doser: Ta den tredje när du får möjlighet!","The government does not introduce new restrictions lightly. But in this situation, the spread of infection must go down, and we all need help. Here we know that the vaccine is our most effective tool against serious illness. Most people who are on IVA are not fully vaccinated. Therefore, I would like to send a clear appeal to you who have not yet taken the vaccine: Do it now! And to everyone who has taken two doses: Take the third when you get the chance!",2
10,10,Statsminister Magdalena Andersson (S),Därför vill jag rikta en tydlig uppmaning till dig som ännu inte har tagit vaccinet: Gör det nu!,"Therefore, I would like to send a clear appeal to you who have not yet taken the vaccine: Do it now!",4,"Regeringen inför inte nya restriktioner lättvindigt. Men i det här läget måste smittspridningen ned, och vi behöver alla hjälpas åt. Här vet vi att vaccinet är vårt mest verkningsfulla verktyg mot allvarlig sjukdom. De flesta som ligger på iva är inte fullvaccinerade. Därför vill jag rikta en tydlig uppmaning till dig som ännu inte har tagit vaccinet: Gör det nu! Och till alla som har tagit två doser: Ta den tredje när du får möjlighet!","The government does not introduce new restrictions lightly. But in this situation, the spread of infection must go down, and we all need help. Here we know that the vaccine is our most effective tool against serious illness. Most people who are on IVA are not fully vaccinated. Therefore, I would like to send a clear appeal to you who have not yet taken the vaccine: Do it now! And to everyone who has taken two doses: Take the third when you get the chance!",2
