Index,speaker,label_m,comment_m,label_j,comment_j,sent_sv,sent_en,sent_idx,paragraph_idx,comment_translation
0,Statsminister Magdalena Andersson (S),0,,0,,Fru talman!,Madam President!,0,0,
1,Statsminister Magdalena Andersson (S),0,,0,,Vi står inför ännu en kraftansträngning med anledning av pandemin.,We are facing another effort due to the pandemic.,1,0,
2,Statsminister Magdalena Andersson (S),1,,1,SUBJECTIVE,Viruset sprids snabbare än någonsin.,The virus is spreading faster than ever.,2,0,
3,Statsminister Magdalena Andersson (S),1,,1,,"Antalet patienter på landets sjukhus har ökat med nästan 40 procent den senaste veckan, och risken är hög för ett mycket stort antal sjukskrivningar.","The number of patients in the country&#39;s hospitals has increased by almost 40 percent in the past week, and the risk is high for a very large number of sick leaves.",3,0,
4,Statsminister Magdalena Andersson (S),0,,1,,"I måndags presenterade regeringen ytterligare åtgärder för att pressa ned smittspridningen, i enlighet med den plan som lades fram i december.","On Monday, the government presented further measures to reduce the spread of infection, in accordance with the plan presented in December.",0,1,
5,Statsminister Magdalena Andersson (S),0,,0,,"Det handlar om att arbeta hemifrån, att begränsa antalet nära kontakter och om ytterligare begränsningar för krogar och allmänna sammankomster.","It is about working from home, limiting the number of close contacts and further restrictions for restaurants and public gatherings.",1,1,
6,Statsminister Magdalena Andersson (S),0,,0,,Regeringen inför inte nya restriktioner lättvindigt.,The government does not introduce new restrictions lightly.,0,2,
7,Statsminister Magdalena Andersson (S),0,,0,,"Men i det här läget måste smittspridningen ned, och vi behöver alla hjälpas åt.","But in this situation, the spread of infection must go down, and we all need help.",1,2,
8,Statsminister Magdalena Andersson (S),1,,1,,Här vet vi att vaccinet är vårt mest verkningsfulla verktyg mot allvarlig sjukdom.,Here we know that the vaccine is our most effective tool against serious illness.,2,2,
9,Statsminister Magdalena Andersson (S),1,,1,,De flesta som ligger på iva är inte fullvaccinerade.,Most people who are on IVA are not fully vaccinated.,3,2,
10,Statsminister Magdalena Andersson (S),0,,0,,Därför vill jag rikta en tydlig uppmaning till dig som ännu inte har tagit vaccinet: Gör det nu!,"Therefore, I would like to send a clear appeal to you who have not yet taken the vaccine: Do it now!",4,2,
11,Statsminister Magdalena Andersson (S),0,,0,,Och till alla som har tagit två doser: Ta den tredje när du får möjlighet!,And to everyone who has taken two doses: Take the third when you get the chance!,5,2,
12,Statsminister Magdalena Andersson (S),0,,0,,Fru talman!,Madam President!,0,3,
13,Statsminister Magdalena Andersson (S),0,Unclear what to check,0,,Parallellt med smittspridningen ökar också spänningarna i vår omvärld.,"In parallel with the spread of infection, tensions in our surrounding world are also increasing.",1,3,
14,Statsminister Magdalena Andersson (S),1,,1,,Rysslands militära agerande och dess politiska utspel är oroväckande och skärper det försämrade säkerhetspolitiska läget i vårt närområde.,Russia&#39;s military action and its political outbursts are worrying and exacerbate the deteriorating security situation in our immediate area.,2,3,
15,Statsminister Magdalena Andersson (S),1,,1,,Flera av de krav som förs fram av den ryska ledningen utmanar kärnan i den europeiska säkerhetsordningen.,Several of the demands put forward by the Russian leadership challenge the core of the European security system.,3,3,
16,Statsminister Magdalena Andersson (S),0,,0,,Låt mig vara glasklar.,Let me be crystal clear.,0,4,
17,Statsminister Magdalena Andersson (S),0,,1,,Den europeiska säkerhetsordningen är inte förhandlingsbar.,The European security regime is non-negotiable.,1,4,
18,Statsminister Magdalena Andersson (S),0,,0,,I Sverige bestämmer vi själva över vår utrikes- och säkerhetspolitik.,"In Sweden, we decide for ourselves on our foreign and security policy.",2,4,
19,Statsminister Magdalena Andersson (S),0,,0,,Vi bestämmer vilka vi väljer att samarbeta med.,We decide who we choose to work with.,3,4,
20,Statsminister Magdalena Andersson (S),0,Ambiguous,0,,"Den rätten har Sverige, och den rätten har alla stater.","Sweden has that right, and all states have that right.",4,4,
21,Statsminister Magdalena Andersson (S),0,,1,,Regeringen för en nära dialog med våra samarbetspartner.,The government maintains a close dialogue with our partners.,0,5,
22,Statsminister Magdalena Andersson (S),1,,1,,Under förra veckan samtalade jag med Finlands president och Natos generalsekreterare.,"Last week, I spoke with the President of Finland and the Secretary General of NATO.",1,5,
23,Statsminister Magdalena Andersson (S),1,,1,,"Regeringen för även samtal med den amerikanska administrationen, inom EU och med andra partner.","The government is also in talks with the US administration, within the EU and with other partners.",2,5,
24,Statsminister Magdalena Andersson (S),0,,0,,Det är centralt att vi är delaktiga i diskussionerna om den europeiska säkerhetsordningens framtid.,It is crucial that we take part in the discussions on the future of the European security system.,3,5,
25,Statsminister Magdalena Andersson (S),0,,1,,"EU, Nato och G7 har också formulerat samstämmiga budskap som reaktion på de ryska utspelen.","The EU, NATO and the G7 have also formulated consistent messages in response to the Russian measures.",4,5,
26,Statsminister Magdalena Andersson (S),0,,0,,Det är angeläget för regeringen att riksdagen får kännedom om Sveriges säkerhetspolitiska situation.,It is important for the government that the Riksdag becomes aware of Sweden&#39;s security policy situation.,0,6,
27,Statsminister Magdalena Andersson (S),0,,0,,Det är mot den bakgrunden som jag i eftermiddag kommer att informera partiledarna om det aktuella läget och hur regeringen agerar.,It is against this background that this afternoon I will inform the party leaders about the current situation and how the government is acting.,1,6,
28,Statsminister Magdalena Andersson (S),0,,1,,Låt mig här i kammaren också framhålla att regeringen bedriver en aktiv diplomati.,Let me also point out in this House that the government is actively pursuing diplomacy.,0,7,
29,Statsminister Magdalena Andersson (S),0,,1,,Vi är konsekvent tydliga med Sveriges budskap.,We are consistently clear with Sweden&#39;s message.,1,7,
30,Statsminister Magdalena Andersson (S),0,,0,,"I grunden handlar det om rätten att försvara vår suveränitet, vår frihet och vår rätt att leva som vi själva bestämmer.","It is basically about the right to defend our sovereignty, our freedom and our right to live as we decide.",2,7,
31,Statsminister Magdalena Andersson (S),0,,0,,Det handlar om rätten att försvara vår demokrati.,It is about the right to defend our democracy.,3,7,
32,Statsminister Magdalena Andersson (S),0,,0,,Fru talman!,Madam President!,0,8,
33,Statsminister Magdalena Andersson (S),0,,0,,I höst är det återigen dags för demokratins högtidsdag här i Sverige.,"This autumn, it&#39;s time again for the feast day of democracy here in Sweden.",1,8,
34,Statsminister Magdalena Andersson (S),1,Uninteresting,1,NO_INTEREST,Söndagen den 11 september samlas människor från norr till söder för att välja politisk riktning för vårt land.,"On Sunday, September 11, people will gather from north to south to choose the political direction for our country.",2,8,
35,Statsminister Magdalena Andersson (S),0,,0,,"Demokratin är det verktyg som har byggt Sverige till det fantastiska land som vi känner - ett land med starka normer om rättvisa, jämlikhet och jämställdhet och ett land med en kraftfullt omfördelande välfärd, byggt på både plikt och rätt.","Democracy is the tool that has built Sweden into the fantastic country we know - a country with strong norms of justice, equality and gender equality and a country with a powerful redistributive welfare, built on both duty and justice.",3,8,
36,Statsminister Magdalena Andersson (S),0,,0,,Det är ett Sverige som jag och så många med mig är otroligt stolta över.,It is a Sweden that I and so many with me are incredibly proud of.,4,8,
37,Statsminister Magdalena Andersson (S),0,,0,,"Men, fru talman, jag ser också att vårt land har allvarliga problem: segregationen, skjutningarna och våldet, klimatförändringarna och krafter i välfärden som sätter vinst framför våra barns och äldres bästa.","But, Madam President, I also see that our country has serious problems: segregation, the shootings and the violence, the climate change and the forces of welfare that put profit before the best interests of our children and the elderly.",0,9,
38,Statsminister Magdalena Andersson (S),0,,0,,Men problem går att lösa.,But problems can be solved.,1,9,
39,Statsminister Magdalena Andersson (S),0,,0,,Vårt land har tagit sig an stora utmaningar förut.,Our country has taken on major challenges before.,2,9,
40,Statsminister Magdalena Andersson (S),0,,0,,"Sverige kan göra det igen, och Sverige ska göra det igen - för Sverige kan bättre.","Sweden can do it again, and Sweden must do it again - because Sweden can do better.",3,9,
41,Statsminister Magdalena Andersson (S),0,,0,,Fru talman!,Madam President!,0,10,
42,Statsminister Magdalena Andersson (S),0,,0,,Det handlar om den respekt som vårt samhälle måste bygga på.,It is about the respect on which our society must be built.,1,10,
43,Statsminister Magdalena Andersson (S),0,,0,,Det handlar om respekt för varandra och för framtida generationer.,It is about respect for each other and for future generations.,2,10,
44,Statsminister Magdalena Andersson (S),0,,0,,"Det handlar om respekt för dig, för dig som arbetar och betalar skatt, för dig som har gått i pension eller för dig som är sjuk och inget hellre vill än att kunna bli frisk och arbeta igen.","It is about respect for you, for you who work and pay taxes, for you who have retired or for you who are ill and want nothing better than to be able to get well and work again.",3,10,
45,Statsminister Magdalena Andersson (S),0,,,,Sedan jag tillträdde som statsminister har därför samtliga statsråd fått tre tydliga prioriteringar.,"Since I took office as Prime Minister, therefore, all government ministers have been given three clear priorities.",0,11,
46,Statsminister Magdalena Andersson (S),1,,0,FUTURE,"För det första: Vi ska vända på varje sten för att bryta segregationen, som lägger grogrund för brottslighet.","First, we must turn every stone to break segregation, which lays the groundwork for crime.",0,12,
47,Statsminister Magdalena Andersson (S),0,,0,,Gängen ska knäckas.,The gangs must be broken.,1,12,
48,Statsminister Magdalena Andersson (S),1,,0,FUTURE,För det andra: Vi ska driva på den gröna industriella revolutionen så att framtidens jobb stannar här i Sverige.,Secondly: We will push for the green industrial revolution so that the jobs of the future stay here in Sweden.,0,13,
49,Statsminister Magdalena Andersson (S),1,,0,FUTURE,"Vi ska bygga ut elproduktionen, där priserna just nu är alldeles för höga.","We will expand electricity production, where prices are currently far too high.",1,13,
50,Statsminister Magdalena Andersson (S),0,,0,IMPOSSIBLE,För det tredje: Vi ska ta tillbaka den demokratiska kontrollen över välfärden så att människor kan leva och åldras i trygghet.,"Thirdly, we must regain democratic control over welfare so that people can live and age in security.",0,14,
51,Statsminister Magdalena Andersson (S),1,,1,,Pandemin visar också att både sjukvården och äldreomsorgen behöver stärkas.,The pandemic also shows that both healthcare and care for the elderly need to be strengthened.,1,14,
52,Statsminister Magdalena Andersson (S),0,,0,,På några veckor har vi gjort en hel del.,In a few weeks we have done a lot.,0,15,
53,Statsminister Magdalena Andersson (S),0,,0,FUTURE,"Vi ger polisen och andra brottsbekämpande myndigheter nya verktyg för att säkra elektroniska bevis, vi skärper terroristlagstiftningen, vi inför en särskild brottsrubricering om hedersförtryck och vi ska strama upp arbetskraftsinvandringen och avveckla EBO.","We are giving the police and other law enforcement agencies new tools to secure electronic evidence, we are tightening up terrorist legislation, we are introducing a special criminal classification on honor killings and we are going to tighten up labor immigration and phase out EBO.",1,15,
54,Statsminister Magdalena Andersson (S),0,,0,,Fru talman!,Madam President!,0,16,
55,Statsminister Magdalena Andersson (S),0,,0,,Vi har bara börjat.,We&#39;re just getting started.,1,16,
56,Statsminister Magdalena Andersson (S),0,,0,,"Riktningen är tydlig, och målet är glasklart.","The direction is clear, and the goal is crystal clear.",2,16,
57,Statsminister Magdalena Andersson (S),0,,0,,Det starka samhället ska finnas där och ställa upp för människor precis på samma sätt som så många människor är beredda att ställa upp för vårt land och ta sin del av ansvaret.,The strong society must be there and stand up for people in exactly the same way that so many people are prepared to stand up for our country and take their share of responsibility.,3,16,
58,Statsminister Magdalena Andersson (S),0,,0,,"Det är en fråga om respekt för alla som jobbar, som har jobbat, som vill jobba och som kommer att jobba.","It is a matter of respect for everyone who works, who has worked, who wants to work and who will work.",4,16,
59,Statsminister Magdalena Andersson (S),0,,0,,Regeringens besked är tydligt: Det är er tur nu.,The government&#39;s message is clear: it&#39;s your turn now.,5,16,
60,Statsminister Magdalena Andersson (S),0,,0,,(Applåder),(Applause),0,17,
61,Ulf Kristersson (M),0,,0,,Fru talman!,Madam President!,0,0,
62,Ulf Kristersson (M),1,,1,,Mycket tyder nu på att Ryssland förbereder en invasion av Ukraina.,There are now many indications that Russia is preparing for an invasion of Ukraine.,1,0,
63,Ulf Kristersson (M),1,,1,,"Moskva kräver ett säkerhetsavtal mellan Nato och Ryssland för att, som de själva säger, undvika en militär konflikt.","Moscow demands a security agreement between NATO and Russia in order, as they themselves say, to avoid a military conflict.",2,0,
64,Ulf Kristersson (M),1,,1,,Men de vill tillbaka till kalla krigets uppdelning av världen och ta självständiga staters frihet att välja sin egen väg ifrån dem.,But they want to return to the Cold War division of the world and take the freedom of independent states to choose their own path away from them.,3,0,
65,Ulf Kristersson (M),0,,0,,"Det är, enkelt uttryckt, fullständigt uteslutet.","It is, simply put, completely out of the question.",4,0,
66,Ulf Kristersson (M),0,,0,,Två saker måste göras.,Two things need to be done.,0,1,
67,Ulf Kristersson (M),0,,0,,Västvärlden måste stå upp och stå emot.,The Western world must stand up and resist.,1,1,
68,Ulf Kristersson (M),0,,0,,"Och Sverige borde göra som den finska statsledningen och tala fullständig klartext, för Finlands sak är också vår.","And Sweden should act like the Finnish government and speak in full plain text, because Finland&#39;s cause is also ours.",2,1,
69,Ulf Kristersson (M),0,,0,,Fru talman!,Madam President!,0,2,
